custid,yearmonthid,kwh
33,201005,307
33,201006,259
33,201007,261
34,200808,255
34,200809,245
34,200810,174
34,200811,258
34,200812,324
34,200901,364
34,200902,341
34,200903,293
34,200904,256
34,200905,227
34,200906,193
34,200907,218
34,200908,232
34,200909,296
34,200910,203
34,200911,280
34,200912,324
34,201001,354
34,201002,304
34,201003,328
34,201004,230
34,201005,304
34,201006,197
34,201007,270
35,200808,86
35,200809,98
35,200810,117
35,200811,127
35,200812,138
35,200901,135
35,200902,110
35,200903,107
35,200904,88
35,200905,77
35,200906,68
35,200907,73
35,200908,86
35,200909,98
35,200910,117
35,200911,127
35,200912,138
35,201001,135
35,201002,110
35,201003,107
35,201004,88
35,201005,77
35,201006,68
35,201007,73
36,200808,790
36,200809,725
36,200810,853
36,200811,775
36,200812,854
36,200901,1029
36,200902,915
36,200903,911
36,200904,879
36,200905,817
36,200906,735
36,200907,698
36,200908,602
36,200909,603
36,200910,621
36,200911,864
36,200912,789
36,201001,906
36,201002,854
36,201003,808
36,201004,912
36,201005,693
36,201006,697
36,201007,666
37,200808,1457
37,200809,1348
37,200810,1057
37,200811,1634
37,200812,2630
37,200901,2301
37,200902,1829
37,200903,2463
37,200904,1457
37,200905,1335
37,200906,1093
37,200907,1147
37,200908,1041
37,200909,1173
37,200910,1688
37,200911,1920
37,200912,2345
37,201001,2956
37,201002,1877
37,201003,2153
37,201004,1875
37,201005,1610
37,201006,1005
37,201007,1001
38,200808,1964
38,200809,2394
38,200810,1573
38,200811,1811
38,200812,1549
38,200901,2435
38,200902,1764
38,200903,3314
38,200904,1520
38,200905,1416
38,200906,1416
38,200907,1720
38,200908,1982
38,200909,1865
38,200910,1527
38,200911,1903
38,200912,1416
38,201001,1944
38,201002,1801
38,201003,1524
38,201004,1520
38,201005,1687
38,201006,1417
38,201007,1915
39,200808,661
39,200809,702
39,200810,691
39,200811,649
39,200812,711
39,200901,801
39,200902,660
39,200903,599
39,200904,444
39,200905,483
39,200906,493
39,200907,678
39,200908,563
39,200909,847
39,200910,644
39,200911,691
39,200912,735
39,201001,945
39,201002,824
39,201003,688
39,201004,598
39,201005,569
39,201006,591
39,201007,764
40,200808,409
40,200809,491
40,200810,396
40,200811,666
40,200812,504
40,200901,989
40,200902,880
40,200903,1331
40,200904,540
40,200905,712
40,200906,712
40,200907,324
40,200908,659
40,200909,592
40,200910,629
40,200911,590
40,200912,597
40,201001,731
40,201002,606
40,201003,518
40,201004,408
40,201005,555
40,201006,559
40,201007,551
41,200808,818
41,200809,748
41,200810,0
41,200811,1972
41,200812,1137
41,200901,903
41,200902,1199
41,200903,1085
41,200904,911
41,200905,986
41,200906,775
41,200907,629
41,200908,607
41,200909,824
41,200910,998
41,200911,1100
41,200912,1401
41,201001,1273
41,201002,1281
41,201003,1238
41,201004,1182
41,201005,1128
41,201006,0
41,201007,1261
42,200808,347
42,200809,398
42,200810,328
42,200811,345
42,200812,393
42,200901,537
42,200902,542
42,200903,490
42,200904,424
42,200905,371
42,200906,337
42,200907,444
42,200908,383
42,200909,373
42,200910,442
42,200911,450
42,200912,447
42,201001,727
42,201002,552
42,201003,505
42,201004,523
42,201005,419
42,201006,468
42,201007,465
43,200808,940
43,200809,781
43,200810,975
43,200811,973
43,200812,1375
43,200901,2716
43,200902,2736
43,200903,1190
43,200904,1110
43,200905,984
43,200906,880
43,200907,805
43,200908,724
43,200909,917
43,200910,1124
43,200911,1467
43,200912,1635
43,201001,2441
43,201002,1880
43,201003,1469
43,201004,1508
43,201005,1064
43,201006,1057
43,201007,1145
44,200808,149
44,200809,179
44,200810,186
44,200811,183
44,200812,172
44,200901,177
44,200902,171
44,200903,179
44,200904,157
44,200905,178
44,200906,167
44,200907,259
44,200908,197
44,200909,133
44,200910,184
44,200911,194
44,200912,189
44,201001,211
44,201002,198
44,201003,167
44,201004,148
44,201005,171
44,201006,157
44,201007,169
45,200808,101
45,200809,116
45,200810,110
45,200811,104
45,200812,107
45,200901,117
45,200902,127
45,200903,122
45,200904,107
45,200905,109
45,200906,108
45,200907,105
45,200908,108
